stateid,iliactivityid,mmwrid
1,3,3124
2,1,3124
3,2,3124
4,3,3124
5,1,3124
6,3,3124
7,2,3124
8,1,3124
10,5,3124
11,7,3124
12,1,3124
13,3,3124
14,1,3124
15,3,3124
16,1,3124
17,1,3124
18,2,3124
19,1,3124
20,2,3124
21,3,3124
22,2,3124
23,4,3124
24,1,3124
25,3,3124
26,4,3124
27,2,3124
28,2,3124
29,3,3124
30,1,3124
31,5,3124
32,10,3124
33,4,3124
34,3,3124
35,2,3124
36,2,3124
37,3,3124
38,2,3124
39,4,3124
40,3,3124
41,3,3124
42,1,3124
43,2,3124
44,4,3124
45,4,3124
46,3,3124
47,3,3124
48,2,3124
49,2,3124
50,2,3124
51,3,3124
54,1,3124
55,1,3124
56,1,3124
58,3,3124
