iliActivityid,value,legend,colorname,color_hexvalue,ili_activity_label
0,0,Insufficient Data,White,#FFFFFF,Level 0
1,1,Minimal,Light blue,#00C200,Level 1
2,2,Minimal,Shaded blue,#5BF700,Level 2
3,3,Minimal,Blue,#8CF700,Level 3
4,4,Low,Green,#BAF700,Level 4
5,5,Low,Light yellow,#E0F500,Level 5
6,6,Moderate,Yellow,#F7DF00,Level 6
7,7,Moderate,Light Orange,#FCB100,Level 7
8,8,High,Orange,#FC8200,Level 8
9,9,High,Light Red,#FA4F00,Level 9
10,10,High,Red,#CC0000,Level 10
11,11,Very High,Purple,#960000,Level 11
12,12,Very High,Purple,#6E0000,Level 12
13,13,Very High,Purple,#4C0073,Level 13
